employee_id,gender,years_of_experience,job_level,industry,company_size,negotiated_salary,employment_type,career_gap_months,num_promotions,primary_caregiver,relocated_for_job,works_overtime,education_level,city_tier,performance_rating,age,domain,monthly_salary_inr
EMP0015,Male,15.0,Manager,Finance & Banking,MNC (2000+),0,Full-Time,12,5,1,1,0,Graduate,Tier 1,4,36,Sales,194938
EMP0016,Female,13.2,Senior,Finance & Banking,Startup (<50),0,Full-Time,0,2,1,1,0,Post-Graduate,Tier 3,4,33,Customer Support,64207
EMP0017,Female,0.5,Junior,Manufacturing,SME (50-500),1,Full-Time,24,0,0,0,0,Post-Graduate,Tier 2,3,25,Operations,25526
EMP0018,Female,8.3,Senior,Technology,SME (50-500),0,Contract,6,1,0,0,0,MBA,Tier 2,5,32,HR,107000
EMP0019,Female,0.5,Junior,Technology,Large (500-2000),1,Full-Time,0,0,1,0,1,Graduate,Tier 2,4,22,Finance,41829
EMP0020,Male,15.0,Manager,Education,MNC (2000+),0,Full-Time,18,4,1,1,1,MBA,Tier 2,5,35,Engineering,102114
EMP0021,Female,15.1,Manager,Healthcare,Startup (<50),0,Full-Time,3,3,0,1,0,MBA,Tier 2,3,34,Sales,104280
EMP0022,Female,0.5,Junior,FMCG,Large (500-2000),0,Full-Time,18,1,0,1,0,MBA,Tier 3,2,22,Marketing,25818
EMP0023,Male,5.8,Mid,FMCG,Startup (<50),1,Full-Time,0,3,0,0,0,Graduate,Tier 1,1,30,HR,32918
EMP0024,Female,7.5,Senior,Education,SME (50-500),0,Full-Time,0,1,1,0,0,MBA,Tier 2,3,31,Marketing,47408
EMP0025,Male,9.5,Senior,NGO / Social Sector,MNC (2000+),0,Full-Time,0,4,0,0,1,MBA,Tier 1,2,34,Engineering,49126
EMP0026,Female,9.9,Senior,Healthcare,SME (50-500),1,Full-Time,24,2,0,0,0,Post-Graduate,Tier 3,2,34,Customer Support,52035
EMP0027,Female,4.1,Junior,Manufacturing,MNC (2000+),0,Full-Time,0,0,0,1,1,PhD,Tier 2,2,29,HR,30677
EMP0028,Female,9.6,Senior,Healthcare,Large (500-2000),1,Full-Time,6,2,1,1,1,Graduate,Tier 3,2,31,Customer Support,70489
EMP0029,Male,10.8,Senior,FMCG,Large (500-2000),1,Full-Time,0,3,0,1,1,Graduate,Tier 3,5,35,Legal,78472
EMP0030,Female,7.6,Mid,Healthcare,SME (50-500),0,Full-Time,6,1,0,0,1,Post-Graduate,Tier 3,1,31,Data & Analytics,45358
EMP0031,Male,5.9,Mid,Retail,Large (500-2000),1,Full-Time,6,0,0,1,0,Graduate,Tier 3,5,32,Legal,41898
EMP0032,Female,2.1,Junior,NGO / Social Sector,Startup (<50),1,Contract,3,1,1,0,1,MBA,Tier 2,4,22,Finance,15396
EMP0033,Male,3.8,Mid,Manufacturing,Large (500-2000),1,Part-Time,0,1,0,1,0,MBA,Tier 2,1,24,Engineering,56776
EMP0034,Male,15.5,Manager,FMCG,Large (500-2000),1,Full-Time,6,5,1,0,0,Post-Graduate,Tier 1,3,37,Finance,152998
EMP0035,Male,9.1,Senior,FMCG,SME (50-500),1,Full-Time,0,2,0,1,1,MBA,Tier 1,5,31,Engineering,106837
EMP0036,Female,6.6,Mid,Media,Startup (<50),1,Full-Time,18,2,1,0,0,Post-Graduate,Tier 1,3,29,Customer Support,28108
EMP0037,Male,7.3,Senior,Technology,Startup (<50),0,Full-Time,3,3,0,1,0,Graduate,Tier 2,4,30,Sales,107361
EMP0038,Male,6.9,Mid,Manufacturing,Startup (<50),1,Full-Time,0,2,0,1,0,Graduate,Tier 2,3,28,Engineering,42638
EMP0039,Female,10.0,Senior,Finance & Banking,MNC (2000+),0,Full-Time,12,1,0,0,0,MBA,Tier 3,3,34,HR,82968
EMP0040,Male,11.4,Senior,Retail,SME (50-500),1,Full-Time,0,3,0,1,1,Graduate,Tier 1,5,35,Finance,67922
EMP0041,Male,0.5,Junior,Finance & Banking,SME (50-500),1,Full-Time,0,1,0,0,0,Post-Graduate,Tier 2,3,24,Engineering,29515
EMP0042,Female,13.0,Senior,NGO / Social Sector,MNC (2000+),1,Full-Time,0,2,1,0,1,Post-Graduate,Tier 1,4,34,Sales,91167
EMP0043,Male,14.1,Manager,Education,SME (50-500),0,Full-Time,0,4,1,0,0,PhD,Tier 3,3,33,Sales,84992
EMP0044,Male,11.1,Senior,Finance & Banking,Large (500-2000),0,Part-Time,0,4,0,1,0,Graduate,Tier 2,2,34,Finance,113874
EMP0045,Female,4.8,Mid,Consulting,Large (500-2000),0,Full-Time,0,1,1,0,0,MBA,Tier 2,2,30,Operations,64257
EMP0046,Female,11.0,Senior,Technology,Startup (<50),0,Contract,3,2,0,1,1,Post-Graduate,Tier 2,4,34,Admin,87683
EMP0047,Female,6.8,Senior,Manufacturing,Large (500-2000),0,Full-Time,0,2,1,0,0,MBA,Tier 2,3,32,Finance,95607
EMP0048,Female,11.0,Senior,Education,Startup (<50),0,Full-Time,0,2,1,0,0,Post-Graduate,Tier 3,3,35,Customer Support,44089
EMP0049,Female,9.9,Senior,Technology,MNC (2000+),1,Full-Time,6,2,1,0,0,MBA,Tier 3,2,31,Operations,126980
EMP0050,Male,12.8,Senior,Technology,SME (50-500),1,Full-Time,0,3,0,1,1,PhD,Tier 1,4,36,Data & Analytics,126670
EMP0051,Male,13.5,Manager,Consulting,Large (500-2000),1,Full-Time,0,4,0,0,1,MBA,Tier 1,4,31,Marketing,185884
EMP0052,Female,11.4,Senior,NGO / Social Sector,Large (500-2000),1,Contract,0,3,1,1,0,Graduate,Tier 3,5,34,Customer Support,37897
EMP0053,Male,13.0,Manager,Technology,SME (50-500),1,Full-Time,0,3,1,1,0,Post-Graduate,Tier 1,2,35,Finance,192975
EMP0054,Female,14.3,Manager,Manufacturing,SME (50-500),1,Part-Time,12,3,1,0,0,Graduate,Tier 1,4,35,HR,150616
EMP0055,Female,5.0,Mid,Media,Startup (<50),0,Part-Time,6,0,0,0,1,Post-Graduate,Tier 1,3,24,Sales,55270
EMP0056,Female,11.5,Senior,Education,Large (500-2000),1,Full-Time,12,3,0,1,0,High School,Tier 2,5,31,HR,52635
EMP0057,Male,10.7,Senior,Finance & Banking,Startup (<50),1,Full-Time,0,3,0,1,1,MBA,Tier 2,2,34,Engineering,113910
EMP0058,Male,17.4,Manager,Finance & Banking,SME (50-500),1,Full-Time,6,5,0,0,0,Graduate,Tier 3,5,39,Operations,146378
EMP0059,Female,10.4,Senior,Finance & Banking,Large (500-2000),0,Full-Time,3,2,0,0,0,MBA,Tier 2,3,32,HR,96529
EMP0060,Male,8.0,Senior,Media,Startup (<50),1,Full-Time,0,2,0,0,0,Graduate,Tier 3,5,26,Operations,45461
EMP0061,Female,9.8,Senior,Retail,Startup (<50),1,Contract,24,2,0,0,0,MBA,Tier 2,2,32,Data & Analytics,68001
EMP0062,Male,3.8,Mid,FMCG,Startup (<50),0,Full-Time,0,1,0,1,0,Post-Graduate,Tier 2,3,22,Finance,34889
EMP0063,Female,6.7,Mid,Healthcare,SME (50-500),0,Full-Time,3,2,1,1,0,PhD,Tier 1,5,27,Admin,43281
EMP0064,Male,4.9,Mid,Technology,SME (50-500),0,Contract,18,2,1,0,0,PhD,Tier 3,3,22,Engineering,56776
EMP0065,Male,16.0,Manager,FMCG,Large (500-2000),1,Full-Time,0,4,0,0,0,Post-Graduate,Tier 1,3,42,Data & Analytics,144116
EMP0066,Male,10.2,Senior,Healthcare,Large (500-2000),0,Full-Time,12,2,0,0,0,Graduate,Tier 2,1,36,Customer Support,58745
EMP0067,Male,6.1,Senior,Healthcare,SME (50-500),1,Full-Time,3,1,0,1,1,Graduate,Tier 2,4,23,Finance,90632
EMP0068,Male,14.1,Manager,NGO / Social Sector,Large (500-2000),1,Full-Time,0,4,1,0,0,Post-Graduate,Tier 1,3,34,Marketing,67174
EMP0069,Male,11.6,Senior,Manufacturing,MNC (2000+),1,Full-Time,0,3,0,0,0,MBA,Tier 1,5,37,Admin,77825
EMP0070,Male,7.1,Senior,Manufacturing,MNC (2000+),1,Full-Time,3,2,0,1,1,MBA,Tier 1,5,31,Marketing,117297
EMP0071,Male,9.2,Senior,Education,SME (50-500),1,Full-Time,3,2,0,0,0,MBA,Tier 1,2,31,Customer Support,37814
EMP0072,Female,11.3,Senior,Retail,Large (500-2000),0,Full-Time,0,2,1,0,0,PhD,Tier 2,2,31,Customer Support,69885
EMP0073,Female,8.8,Senior,Healthcare,Large (500-2000),1,Part-Time,6,1,0,0,1,High School,Tier 3,3,29,Admin,49505
EMP0074,Female,8.8,Senior,Healthcare,SME (50-500),0,Full-Time,6,1,0,0,0,MBA,Tier 2,5,34,Operations,87334
EMP0075,Female,14.5,Manager,Retail,Startup (<50),1,Full-Time,18,4,0,0,0,MBA,Tier 1,5,37,Finance,118997
EMP0076,Male,10.5,Senior,Technology,SME (50-500),1,Full-Time,12,3,1,0,0,MBA,Tier 1,3,35,Finance,122817
EMP0077,Female,0.5,Junior,Healthcare,MNC (2000+),0,Full-Time,24,1,1,0,1,MBA,Tier 2,3,22,Admin,16094
EMP0078,Male,7.6,Senior,FMCG,MNC (2000+),1,Full-Time,0,2,0,1,1,MBA,Tier 1,5,30,Engineering,118943
EMP0079,Male,8.3,Senior,NGO / Social Sector,Startup (<50),0,Contract,0,2,0,1,1,MBA,Tier 1,3,30,Finance,42649
EMP0080,Female,15.8,Manager,Finance & Banking,SME (50-500),0,Part-Time,24,3,0,0,0,High School,Tier 1,4,39,Marketing,146475
EMP0081,Female,5.0,Mid,FMCG,Large (500-2000),0,Contract,12,2,1,0,0,Graduate,Tier 1,2,27,Operations,38497
EMP0082,Male,3.7,Mid,Manufacturing,SME (50-500),1,Full-Time,0,0,0,1,0,MBA,Tier 1,3,28,Customer Support,35720
EMP0083,Male,7.5,Senior,FMCG,Large (500-2000),1,Full-Time,12,2,0,1,0,Graduate,Tier 1,4,28,Data & Analytics,114377
EMP0084,Male,1.6,Junior,Manufacturing,Large (500-2000),0,Full-Time,3,1,0,1,0,MBA,Tier 1,3,22,Engineering,28727
EMP0085,Male,15.1,Manager,Technology,SME (50-500),0,Full-Time,0,5,1,0,0,Post-Graduate,Tier 1,4,37,Data & Analytics,239051
EMP0086,Male,4.7,Mid,Manufacturing,Large (500-2000),0,Full-Time,0,1,1,1,0,Post-Graduate,Tier 2,3,25,Admin,29271
EMP0087,Female,14.1,Manager,Retail,MNC (2000+),0,Full-Time,12,3,0,1,0,MBA,Tier 2,4,39,Customer Support,113294
EMP0088,Male,11.6,Senior,Manufacturing,Large (500-2000),1,Contract,0,4,0,0,1,MBA,Tier 2,2,36,Engineering,86752
EMP0089,Male,3.3,Mid,Retail,MNC (2000+),1,Full-Time,0,0,0,0,1,Graduate,Tier 2,5,24,Sales,41971
EMP0090,Male,2.3,Mid,Education,Large (500-2000),1,Full-Time,18,0,0,1,1,Graduate,Tier 3,5,23,Operations,31360
EMP0091,Female,0.5,Junior,Education,Large (500-2000),0,Full-Time,12,0,1,0,1,Graduate,Tier 1,5,24,HR,17533
EMP0092,Male,4.2,Mid,Finance & Banking,Large (500-2000),1,Full-Time,0,1,0,1,1,MBA,Tier 1,4,25,Engineering,79452
EMP0093,Male,11.6,Senior,Technology,Large (500-2000),1,Full-Time,0,2,0,1,1,Graduate,Tier 1,5,33,Sales,136420
EMP0094,Male,5.3,Mid,Technology,Large (500-2000),1,Full-Time,0,1,0,1,1,Post-Graduate,Tier 3,4,28,Legal,75774
EMP0095,Female,10.1,Senior,NGO / Social Sector,MNC (2000+),0,Full-Time,12,2,0,1,0,Graduate,Tier 3,2,33,Marketing,52600
EMP0096,Female,15.2,Manager,Consulting,Startup (<50),0,Full-Time,6,3,1,1,0,High School,Tier 2,4,39,Customer Support,108846
EMP0097,Female,6.8,Senior,Retail,MNC (2000+),0,Full-Time,6,2,0,0,0,Graduate,Tier 3,5,29,Finance,108104
EMP0098,Male,13.6,Manager,Manufacturing,Large (500-2000),1,Full-Time,0,3,0,1,1,MBA,Tier 1,2,37,Marketing,109050
EMP0099,Female,14.8,Manager,Healthcare,MNC (2000+),1,Full-Time,6,3,0,1,0,PhD,Tier 2,2,37,Operations,115006
EMP0100,Female,11.5,Senior,Healthcare,SME (50-500),0,Full-Time,24,3,0,0,0,Post-Graduate,Tier 3,5,34,Legal,70313
EMP0101,Female,7.7,Senior,Finance & Banking,SME (50-500),1,Full-Time,0,1,1,0,0,Post-Graduate,Tier 1,2,28,HR,115784
EMP0102,Female,9.2,Senior,Retail,Large (500-2000),1,Full-Time,3,2,1,0,0,MBA,Tier 3,3,31,Sales,89115
EMP0103,Male,0.5,Junior,Consulting,MNC (2000+),1,Full-Time,12,1,0,0,1,Post-Graduate,Tier 2,3,22,Customer Support,28402
EMP0104,Male,12.7,Manager,Finance & Banking,SME (50-500),1,Full-Time,0,4,0,0,0,Post-Graduate,Tier 2,3,35,Finance,138796
EMP0105,Male,11.7,Senior,Healthcare,SME (50-500),1,Contract,0,4,0,1,0,Graduate,Tier 1,3,31,Engineering,102195
EMP0106,Male,3.4,Mid,FMCG,SME (50-500),0,Full-Time,0,1,0,0,1,High School,Tier 3,1,26,Engineering,35503
EMP0107,Female,0.5,Junior,Media,Startup (<50),1,Full-Time,0,0,0,0,1,Graduate,Tier 2,4,26,Marketing,26886
EMP0108,Male,13.1,Manager,Manufacturing,SME (50-500),0,Full-Time,0,4,0,1,1,Post-Graduate,Tier 1,3,29,Customer Support,91811
EMP0109,Male,10.5,Senior,Finance & Banking,MNC (2000+),0,Full-Time,0,4,0,1,1,Post-Graduate,Tier 2,3,38,Customer Support,89942
EMP0110,Male,8.5,Senior,Finance & Banking,MNC (2000+),0,Full-Time,0,3,0,0,1,Post-Graduate,Tier 1,5,33,Data & Analytics,152625
EMP0111,Male,16.9,Manager,FMCG,Large (500-2000),1,Full-Time,0,5,0,1,0,MBA,Tier 2,2,41,Data & Analytics,104819
EMP0112,Male,3.4,Mid,Manufacturing,SME (50-500),1,Full-Time,0,0,0,0,1,PhD,Tier 1,3,26,Operations,37401
EMP0113,Male,12.9,Manager,Retail,MNC (2000+),0,Full-Time,0,4,0,1,1,High School,Tier 2,5,30,Marketing,131531
EMP0114,Male,6.9,Senior,Manufacturing,Startup (<50),1,Full-Time,0,1,0,1,1,MBA,Tier 1,2,33,Engineering,83512
EMP0115,Male,15.7,Manager,Technology,MNC (2000+),1,Full-Time,0,4,0,1,0,Graduate,Tier 2,5,41,HR,150707
EMP0116,Female,0.5,Junior,Healthcare,SME (50-500),1,Full-Time,3,0,1,0,1,Graduate,Tier 3,3,22,Sales,26343
EMP0117,Female,6.3,Mid,Retail,Startup (<50),1,Full-Time,18,1,1,0,1,MBA,Tier 1,2,28,Sales,52098
EMP0118,Male,12.4,Senior,Manufacturing,SME (50-500),1,Full-Time,0,4,0,1,1,MBA,Tier 1,5,35,Customer Support,73390
EMP0119,Male,7.4,Senior,Technology,Large (500-2000),1,Full-Time,12,2,0,1,1,MBA,Tier 1,3,33,Finance,132107
EMP0120,Male,15.4,Manager,FMCG,Large (500-2000),1,Full-Time,0,4,0,0,1,MBA,Tier 1,1,35,Sales,103461
EMP0121,Female,7.9,Senior,Finance & Banking,SME (50-500),0,Contract,18,2,1,0,0,Post-Graduate,Tier 2,2,30,Admin,60274
EMP0122,Female,7.1,Mid,Education,MNC (2000+),0,Full-Time,24,2,0,0,0,Post-Graduate,Tier 1,2,30,Operations,44313
EMP0123,Male,11.6,Senior,Manufacturing,MNC (2000+),1,Full-Time,12,4,0,0,0,Graduate,Tier 1,2,35,Customer Support,78390
EMP0124,Female,10.2,Senior,Finance & Banking,Startup (<50),0,Full-Time,0,1,1,0,0,MBA,Tier 1,3,32,Finance,100139
EMP0125,Male,0.5,Junior,FMCG,SME (50-500),1,Part-Time,0,0,0,1,0,Post-Graduate,Tier 2,4,23,Sales,25501
EMP0126,Male,16.0,Manager,Healthcare,Startup (<50),0,Full-Time,18,4,0,1,1,High School,Tier 2,2,39,HR,69355
EMP0127,Male,8.4,Senior,Media,Large (500-2000),1,Full-Time,0,2,0,1,0,MBA,Tier 3,3,34,Data & Analytics,59464
EMP0128,Female,8.6,Senior,NGO / Social Sector,Startup (<50),0,Contract,0,1,1,0,0,High School,Tier 1,4,33,Customer Support,45568
EMP0129,Female,5.8,Mid,Finance & Banking,SME (50-500),0,Contract,12,1,0,0,0,Post-Graduate,Tier 1,4,30,Data & Analytics,101318
EMP0130,Male,13.3,Manager,Consulting,MNC (2000+),0,Full-Time,0,3,0,0,1,Post-Graduate,Tier 1,3,37,Finance,210080
EMP0131,Female,7.8,Senior,Finance & Banking,Startup (<50),0,Full-Time,0,1,0,0,0,MBA,Tier 1,3,30,Operations,103456
EMP0132,Male,8.4,Senior,Retail,Large (500-2000),0,Full-Time,3,1,0,1,1,Graduate,Tier 1,4,35,Marketing,71596
EMP0133,Female,12.2,Senior,Retail,Large (500-2000),1,Full-Time,0,2,0,0,0,High School,Tier 3,3,34,Operations,67848
EMP0134,Male,9.5,Senior,Retail,Large (500-2000),1,Full-Time,0,3,1,0,1,Graduate,Tier 3,4,37,Sales,70419
EMP0135,Female,5.8,Mid,Retail,SME (50-500),1,Full-Time,0,1,0,0,0,Graduate,Tier 2,4,29,Customer Support,35847
EMP0136,Male,12.7,Manager,Manufacturing,Large (500-2000),1,Full-Time,0,5,0,0,1,MBA,Tier 3,3,37,Finance,156884
EMP0137,Male,7.5,Senior,Manufacturing,Large (500-2000),1,Part-Time,0,4,1,1,1,High School,Tier 2,3,29,Data & Analytics,104874
EMP0138,Female,5.6,Mid,Media,SME (50-500),0,Full-Time,0,0,1,0,0,Graduate,Tier 1,2,25,Admin,37393
EMP0139,Male,15.0,Manager,Retail,Large (500-2000),1,Contract,0,6,0,1,0,Graduate,Tier 1,5,37,Data & Analytics,133524
EMP0140,Male,10.0,Senior,Healthcare,SME (50-500),1,Full-Time,12,2,1,1,1,MBA,Tier 2,3,34,Finance,82500
EMP0141,Male,0.5,Junior,Education,Startup (<50),1,Full-Time,0,0,1,0,0,Graduate,Tier 3,3,22,Marketing,20000
EMP0142,Male,12.1,Senior,Healthcare,Large (500-2000),0,Full-Time,0,3,0,1,1,PhD,Tier 1,4,33,Data & Analytics,105899
EMP0143,Female,10.3,Senior,Education,SME (50-500),0,Full-Time,24,1,0,0,0,MBA,Tier 3,2,31,Sales,46629
EMP0144,Female,5.8,Mid,Healthcare,SME (50-500),0,Full-Time,6,0,0,0,0,MBA,Tier 1,3,30,HR,46340
EMP0145,Female,8.5,Senior,Manufacturing,SME (50-500),0,Contract,0,2,1,0,0,MBA,Tier 1,4,32,Customer Support,73007
EMP0146,Male,5.8,Mid,Finance & Banking,SME (50-500),1,Full-Time,0,2,0,0,0,MBA,Tier 1,5,27,Finance,77803
EMP0147,Male,5.4,Mid,Finance & Banking,Startup (<50),1,Full-Time,6,2,1,0,1,Post-Graduate,Tier 1,3,26,Sales,67119
EMP0148,Female,10.0,Senior,Technology,SME (50-500),0,Full-Time,24,2,1,0,0,High School,Tier 1,2,36,Data & Analytics,134659
EMP0149,Male,6.7,Senior,Consulting,SME (50-500),1,Full-Time,18,1,0,1,0,Post-Graduate,Tier 3,3,27,Legal,91701
EMP0150,Male,6.5,Senior,Finance & Banking,Large (500-2000),1,Full-Time,0,3,1,1,0,MBA,Tier 1,2,29,Legal,108677
EMP0151,Male,19.4,Director,Finance & Banking,SME (50-500),1,Full-Time,0,5,0,0,1,PhD,Tier 2,5,43,Finance,283576
EMP0152,Female,8.8,Senior,Education,SME (50-500),0,Full-Time,3,2,0,0,0,PhD,Tier 2,4,31,HR,50900
EMP0153,Female,8.9,Senior,Technology,SME (50-500),0,Contract,0,2,1,0,0,MBA,Tier 3,5,33,Marketing,87754
EMP0154,Male,16.9,Manager,Technology,MNC (2000+),1,Full-Time,12,5,0,1,0,Post-Graduate,Tier 3,2,41,Customer Support,107318
EMP0155,Male,11.0,Senior,Healthcare,Large (500-2000),1,Full-Time,3,3,0,1,0,Graduate,Tier 3,4,32,Engineering,94092
EMP0156,Male,13.0,Manager,Media,Startup (<50),1,Full-Time,0,4,0,1,0,Graduate,Tier 1,3,31,Finance,103314
EMP0157,Male,6.4,Senior,NGO / Social Sector,Startup (<50),1,Full-Time,18,3,0,0,0,Graduate,Tier 2,2,27,Engineering,48435
EMP0158,Female,8.7,Senior,Retail,Large (500-2000),0,Full-Time,12,0,1,1,0,Post-Graduate,Tier 1,2,33,HR,69683
EMP0159,Male,2.4,Mid,Healthcare,Startup (<50),1,Full-Time,0,0,0,0,1,Post-Graduate,Tier 2,2,29,Finance,34578
EMP0160,Male,7.5,Senior,Consulting,SME (50-500),0,Full-Time,6,2,0,0,0,MBA,Tier 2,2,29,Data & Analytics,83303
EMP0161,Female,6.7,Mid,Media,SME (50-500),0,Part-Time,24,2,1,0,0,Post-Graduate,Tier 1,4,28,Engineering,47051
EMP0162,Male,18.7,Manager,Manufacturing,SME (50-500),1,Full-Time,0,4,0,1,0,Graduate,Tier 1,1,41,Finance,131276
EMP0163,Male,6.8,Mid,FMCG,Startup (<50),1,Full-Time,0,2,0,1,0,Post-Graduate,Tier 3,2,31,Sales,29625
EMP0164,Female,9.3,Senior,Retail,SME (50-500),0,Full-Time,3,2,1,0,0,Post-Graduate,Tier 2,3,32,Engineering,72056
EMP0165,Female,8.5,Senior,Technology,SME (50-500),1,Full-Time,3,1,0,0,0,Post-Graduate,Tier 3,3,29,Marketing,85527
EMP0166,Male,6.4,Senior,Media,MNC (2000+),1,Full-Time,6,0,0,0,0,PhD,Tier 1,4,25,Data & Analytics,92026
EMP0167,Male,20.2,Director,Retail,Startup (<50),1,Contract,0,5,0,0,1,Graduate,Tier 2,3,45,Engineering,170709
EMP0168,Male,6.7,Senior,FMCG,Startup (<50),1,Full-Time,0,3,1,1,1,Post-Graduate,Tier 3,4,28,Engineering,73058
EMP0169,Female,7.4,Mid,Consulting,SME (50-500),0,Contract,18,1,0,0,0,Post-Graduate,Tier 2,3,30,Operations,50137
EMP0170,Female,12.8,Senior,NGO / Social Sector,Startup (<50),1,Full-Time,18,3,1,1,0,PhD,Tier 2,2,35,Operations,48647
EMP0171,Male,6.2,Mid,Finance & Banking,SME (50-500),1,Full-Time,0,2,0,0,0,MBA,Tier 3,3,27,HR,44345
EMP0172,Male,9.3,Senior,Technology,SME (50-500),1,Full-Time,3,2,0,1,0,MBA,Tier 1,4,35,Legal,115438
EMP0173,Female,7.1,Mid,Education,SME (50-500),1,Full-Time,0,2,0,0,0,Post-Graduate,Tier 3,4,28,Finance,38941
EMP0174,Male,6.9,Senior,Healthcare,SME (50-500),1,Contract,0,2,0,1,1,MBA,Tier 1,4,28,Finance,73843
EMP0175,Male,12.2,Senior,Finance & Banking,MNC (2000+),0,Full-Time,3,2,1,0,1,MBA,Tier 1,4,34,Data & Analytics,122562
EMP0176,Male,12.3,Manager,Retail,SME (50-500),0,Full-Time,0,3,0,1,1,Post-Graduate,Tier 1,3,34,Legal,108199
EMP0177,Male,12.7,Manager,Finance & Banking,SME (50-500),1,Full-Time,0,3,0,1,0,MBA,Tier 1,4,37,Legal,157036
EMP0178,Female,4.0,Mid,Education,SME (50-500),1,Full-Time,12,0,1,0,0,PhD,Tier 1,2,23,Marketing,39758
EMP0179,Female,14.7,Manager,Consulting,SME (50-500),1,Part-Time,6,3,0,0,0,Post-Graduate,Tier 2,2,34,Data & Analytics,223139
EMP0180,Female,6.6,Mid,Technology,SME (50-500),0,Full-Time,24,2,0,0,1,Post-Graduate,Tier 2,5,29,HR,60937
EMP0181,Female,12.2,Senior,Education,Startup (<50),1,Full-Time,24,3,1,0,1,Graduate,Tier 1,5,33,HR,47420
EMP0182,Female,6.6,Mid,Retail,Large (500-2000),1,Full-Time,18,0,1,0,1,MBA,Tier 3,3,31,Sales,39763
EMP0183,Male,3.6,Mid,Retail,Startup (<50),0,Full-Time,0,0,0,1,0,Graduate,Tier 2,4,26,Data & Analytics,48163
EMP0184,Female,12.7,Senior,Education,MNC (2000+),1,Full-Time,0,2,0,1,0,Post-Graduate,Tier 1,3,33,Finance,108274
EMP0185,Female,12.9,Manager,Healthcare,Large (500-2000),0,Full-Time,0,3,1,0,0,Post-Graduate,Tier 3,4,35,Finance,143977
EMP0186,Female,2.0,Junior,Healthcare,SME (50-500),0,Full-Time,12,1,0,1,1,PhD,Tier 2,3,26,Marketing,25267
EMP0187,Male,4.1,Mid,Technology,Large (500-2000),1,Part-Time,0,1,0,1,0,MBA,Tier 2,2,23,Legal,54997
EMP0188,Male,7.1,Senior,Healthcare,SME (50-500),1,Contract,0,2,0,0,0,MBA,Tier 1,2,27,Finance,94361
EMP0189,Female,2.5,Junior,Consulting,Large (500-2000),1,Full-Time,0,0,1,0,0,MBA,Tier 3,3,22,HR,24453
EMP0190,Male,9.2,Senior,Manufacturing,SME (50-500),0,Full-Time,0,3,0,0,1,Graduate,Tier 1,3,28,Finance,91897
EMP0191,Female,9.5,Senior,Consulting,SME (50-500),1,Full-Time,12,3,1,0,0,Graduate,Tier 2,4,29,Sales,107242
EMP0192,Male,9.6,Senior,Finance & Banking,MNC (2000+),1,Full-Time,12,4,0,0,1,Graduate,Tier 3,4,35,Sales,84060
EMP0193,Female,5.9,Mid,Education,Large (500-2000),0,Full-Time,0,1,0,0,0,Post-Graduate,Tier 2,1,29,Customer Support,38320
EMP0194,Female,13.0,Senior,Technology,SME (50-500),0,Full-Time,18,2,0,1,1,Post-Graduate,Tier 2,1,35,Operations,70283
